Field Name,Segment,Format,Data Type,Length,Starting Position,,Ending Position,Required I/B,Required O/B,Definition," INBOUND VALUES
(Data from Partner to Express Scripts)","OUTBOUND VALUES
(Data from Express Scripts to Partner)",Comments
 In Network Indicator,Profile,X(1),AN,1,409,-,409,Y,Y ,Identifies whether the claim was processed by an in- or out-of-network provider ,"1  =  In Network
2  =  Out of Network
3 = Both in and 0ut of Network
4 = Extended Network
5 = INN House
Default is Spaces

","1  =  In Network
2  =  Out of Network
3 = Both in and 0ut of Network
4 = Extended Network
5 = INN House
Spaces = Reversal or Adjustment
","Default is 1 for Claims
Default is Spaces for Reversals and Adjustments.  Note that this Network Indicator indicates if the Provider  is in Network or Out of Network, whereas the Accumulator Network Indicator (position 992) indicates which accumulator level the associated amount should be applied to. If separate In and Out of  Network dollars are being accumulated for a client, this field should be discussed further with Express Scripts."
 Formulary Status,Profile,X(1),AN,1,410,-,410,Y,Y ,Identifies if the product is on the client’s formulary or not,"0  =  Not applicable
Default = Spaces","0 or Spaces  =  Not applicable
1  =  In Formulary
2  =  Non Formulary",Not populated for Reversals or Adjustments
Accumulator Action Code,Profile,X(2),AN,2,411,-,412,Y,Y ,Type of activity being passed,"00 = Claim
01 = HRA spending account Initial balance
02 = Coverage Change (HRA only)
03 = Prorated Changes 
04 = Rollover (HRA only)
05 = Incentives
10 = Adjustment (Flat or Paired)
11 = Reversal
12 = Not used
91 = Accumulator Exchange (Medical only)
92 =  Reconcilliation Exchange (not used by ESI)

","00 = Claim
10 = Adjustment (Flat or Paired)
11 = Reversal","Express Scripts and Partner must agree on which Accumulator Action Codes  will be shared and Partner must clearly understand how each one is used.

Please see Adjustments/Reversals section for more detail on these transactions.
"
Sender Reference Number,Profile,X(30),AN,30,413,-,442,N,N,Provides client specific data ,"Allows Partner to pass data that will be echoed back on DR record from Express Scripts
* Express Scripts stores this value for use in Reconciliation processing only if explicitly requested by the CDH Partner","Populated on DR record, echoing back what partner passed..",Partner can use this field to store any data that is needed back on DR response records from Express Scripts
Insurance Code,Profile,X(20),AN,20,443,-,462,N,N,Reporting field within Express Scripts eligibility system,"Spaces
* Express Scripts stores this value for use in Reconciliation processing only if explicitly requested by the CDH Partner",Express Scripts will populate outbound transaction with value stored on eligibility,
Accumulator Balance Benefit Type,Profile,X(1),AN,1,463,-,463,N,N,Not used,"0 = Not specified
I = Individual
F = Family
Default to 'I'","0 = not specified
I = Individual
F = Family
Default to 'S'. ESI only sends 'S'",Not populated for Reversals or Adjustments
Benefit Effective Date,Profile,9(8),N,8,464,-,471,N,Y ,The benefit period effective date which applies to this transaction,CCYYMMDD,CCYYMMDD,"Express Scripts does not use this date, it is informational only.  It should not be used for determining the benefit period for which claims can be applied (the Date of Service MUST be used for this purpose). If no date or an invalid date is sent, Express Scripts will Default this field  to 1/1/2001. Not populated outbound from Express Scripts for Reversals or Adjustments  
If the group has a carryover period, the informational benefit start date on the Rx transaction will be backdated to the beginning of the carryover period.  For  example, transactions for a group with a 4th quarter carryover and a benefit start date of 1/1,  will show a benefit start date of 10/1 on the Rx transaction "
Benefit Termination Date,Profile,9(8),N,8,472,-,479,N,Y ,The benefit period expiration date which applies to this transaction,CCYYMMDD,CCYYMMDD,"Express Scripts does not use this date, it is informational only.  It should not be used for determining the benefit period for which claims can be applied (the Date of Service MUST be used for this purpose). If no date or an invalid date is sent, Express Scripts will Default this field  to 1/1/2001. Not populated outbound from Express Scripts for Reversals or Adjustments  "
Accumulator Change Source Code,Profile,X(1),AN,1,480,-,480,N,Y ,Identifies the channel that was used in processing the claim,Spaces,"C = Card
D =Direct
M = Mail
",
Transaction ID,Profile,X(30),AN,30,481,-,510,Y,Y ,Unique identifier of a claim,"ID assigned by the Partner
default to zeros
Express Scripts stores this value for use in Reconciliation processing only if explicitly requested by the CDH Partner
",Populated with the unique Express Scripts Adjudicated Claim ID,"This corresponds to the Claim ID number passed on the client’s claim billing file.
Note:  Claim ID is set to zeros for flat adjustments. Partner does not need to validate this field, it is for Express Scripts use only.
"
Transaction ID Cross Reference,Profile,X(30),AN,30,511,-,540,Y,Y ,Identifies the original or related claim on a  reversal or paired adjustment ,"ID assigned by the Partner
default to zeros
Express Scripts stores this value for use in Reconciliation processing only if explicitly requested by the CDH Partner
",Only populated on reversals and paired adjustments; contains the Transaction Id of the original transaction that was reversed/adjusted,"When Express Scripts is the originator, and a flat adjustment occurs, the value will Default to zeros."
Adjustment Reason Code,Profile,X(1),AN,1,541,-,541,N,N,Identifies the type of adjustment reported,Spaces,"F = Flat Adjustment
P = Paired Adjustment
S = Standard Adjustment

",This field is used internally at Express Scripts.  Partners can ignore this field regardless of whether they are the receiver or originator.
Accumulator Reference Time Stamp,Profile,X(26),AN,26,542,-,567,N,N,,Spaces,Spaces,"Required if necessary to indicate the date and time of the accumulator adjustment.
Format: CCYY-MM-DD-HH.MM.SS.mmmmmm  

"
Reserved,Profile,X(13),AN,13,568,-,580,N,N,,Spaces,Express Scripts Use Only,"If populated by Express Scripts, Partner should ignore."
Cardholder ID,Eligibility,X(20),AN,20,581,-,600,Y,Y,Primary or Alternate Identifier of the Cardholder ID ,Subscriber ID or Client Account Number stored in Express Scripts Eligibility,Express Scripts Client Account Number,The values for this field and the Partner Subscriber Id field depend on how the client’s eligibility is stored on the Express Scripts system. See Eligibility section below.
Group ID,Eligibility,X(15),AN,15,601,-,615,Y,Y,Express Scripts eligibility Group Number,Express Scripts Group number or Express Scripts Umbrella Group number ,Express Scripts Group Number,
Patient First Name,Eligibility,X(25),AN,25,616,-,640,Y,Y,Patient’s first name,Patient’s First Name,Patient’s First Name,Outbound Pharmacy File: Only the 1st 15 positions from Eligibility are populated.
Middle Initial,Eligibility,X(1),AN,1,641,-,641,N,N,Middle Intial,Patients Middle Initial or Spaces if not available,Patients Middle Initial or Spaces if not available,
Patient Last Name,Eligibility,X(35),AN,35,642,-,676,Y,Y,Patient’s last name,Patient’s Last Name,Patient’s Last Name,Outbound Pharmacy File: Only the 1st 15 positions from Eligibility are populated.
Patient Relationship Code,Eligibility,X(1),AN,1,677,-,677,Y,Y,Identifies the patient’s relationship to the subscriber,"1 = Subscriber
2 = Spouse
3 = Dependent
5= Student
6 = Disabled Dependent
7 = Adult Dependent
8 = Domestic Partner


","1 = Subscriber
2 = Spouse
3 = Dependent
5= Student
6 = Disabled Dependent
7 = Adult Dependent
8 = Domestic Partner


",
Date of Birth,Eligibility,9(8),N,8,678,-,685,Y,Y,Patient’s birthdate,CCYYMMDD,CCYYMMDD,
Patient Gender Code,Eligibility,X(1),AN,1,686,-,686,Y,Y,Patient’s gender,"0 = Unknown
1 = Male
2 = Female
3 = Non-Binary","0 = Unknown
1 = Male
2 = Female",
Patient State/Province Address,Eligibility,X(2),AN,2,687,-,688,N,N,Subscriber’s state of residence,Standard postal abbreviations used,Standard postal abbreviations used,
Cardholder Last Name,Eligibility,X(35),AN,35,689,-,723,N,N,Subscriber’s last name,Can be used when the patient’s last name is different from the subscriber,Express Scripts will always populate with subscriber’s last name from eligibility files,Outbound Pharmacy File: Only the 1st 15 positions from Eligibility are populated.
Carrier Number,Eligibility,X(9),AN,9,724,-,732,N,Y,Express Scripts Carrier Number assigned to the client and associated with the group from which the claim paid,Spaces,Express Scripts Carrier Number,The Carrier Number is an overall client  identifier within the Express Scripts system. Not populated for Reversals or Adjustments
Contract Number,Eligibility,X(15),AN,15,733,-,747,N,Y,Express Scripts Contract Number associated with the group from which the claim paid,Spaces,Express Scripts Contract Number,The Contract Number is part of the client’s account structure and typically identifies a particular subset of the client’s population. Not populated for Reversals or Adjustments
Client Pass Through,Eligibility,X(50)   ,AN,50,748,-,797,N,N,Reporting field stored in Express Scripts eligibility ,Spaces,Eligibility Passthru   ,"This field holds two parts of Elig Data.  The first 35 bytes holds the pass through data and the last 15 hold the locator data.
Pass Through: Pos 748 - 782
Locator: Pos 783 - 797"
Family ID,Eligibility,X(20),AN,20,798,-,817,N,N,,Spaces,,
Cardholder ID (Alternate),Eligibility,X(20),AN,20,818,-,837,N,N,Primary or Alternate Identifier of the Cardholder ID ,Spaces (not used in any manner to identify a claim) ,Express Scripts Subscriber ID,"This field may be  used to build  subscriber number cross reference between Express Scripts and Trading Partner;More typically it is used to pass an Alternate ID Number to the Partner.
The outbound values for this field and the Subscriber Id field depend on how the client’s eligibility is stored on the Express Scripts system. See Eligibility section below."
Group ID (Alternate),Eligibility,X(15),AN,15,838,-,852,N,N,Primary or Alternate Identifier of the Client,Spaces or populate with Express Scripts Group Number or Client Policy Number as assigned by Express Scripts or by Partner,Express Scripts Group Number or Client Policy Number as assigned by Express Scripts or by Partner,The values for this field and the Subscriber Id field depend on how the client’s eligibility is stored on the Express Scripts system. See Eligibility section below
Patient ID,Eligibility,X(20),AN,20,853,-,872,N,N,Not available for use ,Spaces,Spaces, 
Person Code ,Eligibility,X(3),AN,3,873,-,875,N,N,,Spaces,Person Number,"001=Cardholder
002=Spouse
003-999=Dependents and Others (including second spouses, etc.)
"
Reserved,Eligibility,X(90),AN,90,876,-,965,N,N,,,Express Scripts Use Only,"If populated by Express Scripts, Partner should ignore."
Accumulator Balance Count,Request Accumulator,9(2),N,2,966,-,967,Y,Y,Identifies the number of accumulators being submitted on a transaction,Valid values are 01 –12,"Valid values are 1 – 12
0 is not valid for standard implementation, but may be valid value depending on specific partner configuration","The number of occurrences in the Request Accumulator detail indicates the number of accumulators that will be updated.  A separate occurrence for EACH accumulator is required (i.e., Express Scripts will not apply a dollar value in an occurrence to more than one accumulator; e.g., Express Scripts would not apply dollars labeled as ‘deductible’ to any other bucket than deductible). 
All inbound  fields for unused occurrences are not validated.  
All outbound fields for unused occurrences are initialized to Zeroes (numeric fields) or Spaces (character fields)."
Accumulator Specific Category Type,Request Accumulator,X(2),AN,2,968,-,969,N,N,Represents mutually defined drug type  ,Spaces unless a shared benefit specific cap is in place and applies to the transaction,Spaces unless a shared benefit specific cap is in place and applies to the transaction,"Can be used to identify a particular type of benefit, typically a combined therapy, for  which a plan maximum applies (i.e., a fertility cap)
This field would only be populated on transactions that have impact to the benefit maximum
For a shared lifetime cap on infertility drugs/services, Express Scripts and partner must both populate Product ID (see list below) on any claims that have impact to the combined maximum.  The sharing of any type of benefit specific cap must be reviewed with the Express Scripts CDH product and IT teams prior to implementation, as additional development work/testing may be required to support data sharing. For caps other than Infertility, appropriate Product ID’s will be assigned after discussion with the trading partner.
Allowed values:

'6 '            -              'CHEMOSPLTY' 
'3 ’            -               ‘DIABETES’
‘8 ’            -               'INFERTILIT'          
‘E ’           -               ‘SMOKINGCES'      
‘F '           -               'SPECIALTY'
‘A ’          -                'MENTALHLTH'
‘4 ’           -               'AUTISMDRUG'
‘D ’          -               'CHEMOTHERA'
'AA'            -             'MEDPARTB'
'CC'            -             ''DME'
'I '              -              'WEIGHTLOSS' 
(Note that single character codes require a trailing space.)"
Reserved,Request Accumulator,X(20),AN,20,970,-,989,N,N,,Spaces,Express Scripts Use Only, 
Accumulator Balance Qualifier 1,Request Accumulator,X(2),AN,2,990,-,991,Y,Y,Identifies to which account or accumulator the dollars should be applied,"02 = HRA
04 = Deductible
05 = Out of pocket
06 = Cap
07 = Lifetime Cap
08 = Drug-specific Cap
14 = Benefit specific DED (Modular Platform Only)
15 = Benefit specific OOP (Modular Platform Only)
24 = Base Deductible (for  use in subsidy calc)
25 = Base Out of Pocket
(for  use in subsidy calc)
35  = TMOOP","02 = HRA
04 = Deductible
05 = Out of pocket
06 = Cap
07 = Lifetime Cap
08 = Drug-specific Cap
14 = Benefit specific DED (Modular Platform Only)
15 = Benefit specific OOP (Modular Platform Only)
24 = Base Deductible (for  use in subsidy calc)
25 =  Base Out of Pocket
(for  use in subsidy calc)
35 = TMOOP","If the Accumulator Balance Count field indicates that an occurrence of this field will be populated,  Do not populate this field with Spaces on a USED occurrence as this will be flagged as an error.
Repeating field, occurs up to six (6) times.

See comment in Accumulator Balance Count field regarding unused occurrences.

A type 08 would be used to share a cap (benefit maximum) for a combined therapy, such as infertility.  Note that the sharing of any benefit specific/combined therapy cap must be reviewed with the Express Scripts CDH product and IT teams prior to implementation, as additional development work/testing may be required to support data sharing.


"
Accumulator Network Indicator 1,Request Accumulator,X(1),AN,1,992,-,992,Y,Y,Identifies account type from which the amount is drawn and applied by originator,"1 = In Network (Default)
2 = Out of Network
3 = Combined
5 = INN House

","1 = In Network (Default)
2 = Out of Network
3 = Combined
5 = INN House

","Repeating field, occurs up to six (6) times.
See comment in Accumulator Balance Count field regarding unused occurrences. 
Note that this field indicates which accumulator  level the associated amount should be applied to, whereas the In Network Indicator (position 409)  indicates if the Provider is in Network or Out of Network.  If separate In and Out of  Network dollars are being accumulated for a client, this field should be discussed further with Express Scripts. 

"
Accumulator Applied Amount 1,Request Accumulator,9(10),D2,10,993,-,1002,Y,Y,The amount to be added to or subtracted from specified account or accumulator,Amount to be added to or subtracted from account or accumulator,Amount to be added to or subtracted from account or accumulator,"This field is not used to populate HRA initial balance amount (see Accumulator Remaining Balance )
Repeating field, occurs up to six (6) times.
See comment in Accumulator Balance Count “field regarding unused occurrences."
Action Code 1,Request Accumulator,X(1),AN,1,1003,-,1003,Y,Y,Indicates whether dollars in the current amount are positive or negative,"Populate with ‘+’, ‘-‘, 'B'  or 'R' as appropriate ",Populate with ‘+’ or ‘-‘ as appropriate,"A ‘+’ indicates that the current amount should be deducted from the remaining amount available, e.g., a claim that utilizes DED, OOP, cap or spending account
A ‘-‘ indicates that the current amount should be added to the remaining amount available e.g., a reversal that restores dollars used from the original claim
Repeating field, occurs up to six (6) times.
See comment in Accumulator Balance Count  field regarding unused occurrences."
Accumulator Benefit Period Amount 1,Request Accumulator,9(10),D2,10,1004,-,1013,N,N,Total accumulated dollars to date for the specified account or accumulator,"Total accumulated dollars to date for the specified account or accumulator
Not required on standard implementations.",Total accumulated dollars to date for the specified account or accumulator,"Related response codes:  25 &  29 Repeating field, occurs up to six (6) times. This field was not designed to be used for Reconciliation, and Express Scripts recommends against doing so, due to potential inconsistencies.
See comment in Accumulator Balance Count  field regarding unused occurrences   
This field may not reflect Reversal and Adjustment dollars..  It is for informational purposes only and can not be relied on for financial posting."
Action Code 1,Request Accumulator,X(1),AN,1,1014,-,1014,N,N,,"Populate with ‘+’, ‘-‘, 'B'  or 'R' as appropriate ",Populate with ‘+’ or ‘-‘ as appropriate,Required if Accumulator Benefit Period Amount (XXX) is exchanged.
Accumulator Remaining Balance 1,Request Accumulator,9(10),D2,10,1015,-,1024,N,N,The amount remaining to be satisfied for the specified account or accumulator,"The amount remaining to be satisfied for the specified account or accumulator
Not required on standard implementations except as noted in comments.",The amount remaining to be satisfied for the specified account or accumulator,"This field is not required, except for HRA initial balance records.  To pass an initial balance, use Accumulator Action Code  = 01 and populate the balance amount in the Remaining Amount field.
Repeating field, occurs up to six (6) times.  
This field was not designed to be used for Reconciliation, and Express Scripts recommends against doing so, due to potential inconsistencies. See comment in Accumulator Balance Count  field regarding unused occurrences. 
This field may not reflect Reversal and Adjustment dollars..  It is for informational purposes only and can not be relied on for financial posting."
Action Code 1,Request Accumulator,X(1),AN,1,1025,-,1025,N,N,,"Populate with ‘+’, ‘-‘, 'B'  or 'R' as appropriate ",Populate with ‘+’ or ‘-‘ as appropriate,Required if Accumulator Remaining Balance is exchanged
Accumulator Balance Qualifier 2,Request Accumulator,X(2),AN,2,1026,-,1027,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 1: see definition, values and comments in Accumulator Balance Qualifier 1"
 Accumulator Network Indicator 2,Request Accumulator,X(1),AN,1,1028,-,1028,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 1: see definition, values and comments in Accumulator Network Indicator 1"
Accumulator Applied Amount 2,Request Accumulator,9(10),D2,10,1029,-,1038,Y,Y,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 1: see definition, values and comments in Accumulator Applied Amount 1"
Action Code 2,Request Accumulator,X(1),AN,1,1039,-,1039,Y,Y,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 1
Accumulator Benefit Period Amount 2,Request Accumulator,9(10),D2,10,1040,-,1049,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 1: see definition, values and comments in Accumulator Benefit Period 1"
Action Code 2,Request Accumulator,X(1),AN,1,1050,-,1050,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 1: Required if Accumulator Benefit Period Amount (XXX) is exchanged.
Accumulator Remaining Balance 2,Request Accumulator,9(10),D2,10,1051,-,1060,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 1: see definition, values and comments in Accumulator Remaining Balance 1"
Action Code 2,Request Accumulator,X(1),AN,1,1061,-,1061,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 1
Accumulator Balance Qualifier 3,Request Accumulator,X(2),AN,2,1062,-,1063,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 2: see definition, values and comments in Accumulator Balance Qualifier 1"
 Accumulator Network Indicator 3,Request Accumulator,X(1),AN,1,1064,-,1064,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 2: see definition, values and comments in Accumulator Network Indicator 1"
Accumulator Applied Amount 3,Request Accumulator,9(10),D2,10,1065,-,1074,Y,Y,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 2: see definition, values and comments in Accumulator Applied Amount 1"
Action Code 3,Request Accumulator,X(1),AN,1,1075,-,1075,Y,Y,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 2
Accumulator Benefit Period Amount 3,Request Accumulator,9(10),D2,10,1076,-,1085,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 2: see definition, values and comments in Accumulator Benefit Period 1"
Action Code 3,Request Accumulator,X(1),AN,1,1086,-,1086,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 2: Required if Accumulator Benefit Period Amount (XXX) is exchanged.
Accumulator Remaining Balance 3,Request Accumulator,9(10),D2,10,1087,-,1096,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 2: see definition, values and comments in Accumulator Remaining Balance 1"
Action Code 3,Request Accumulator,X(1),AN,1,1097,-,1097,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 2
Accumulator Balance Qualifier 4,Request Accumulator,X(2),AN,2,1098,-,1099,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 3: see definition, values and comments in Accumulator Balance Qualifier 1"
 Accumulator Network Indicator 4,Request Accumulator,X(1),AN,1,1100,-,1100,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 3: see definition, values and comments in Accumulator Network Indicator 1"
Accumulator Applied Amount 4,Request Accumulator,9(10),D2,10,1101,-,1110,Y,Y,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 3: see definition, values and comments in Accumulator Applied Amount 1"
Action Code 4,Request Accumulator,X(1),AN,1,1111,-,1111,Y,Y,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 3
Accumulator Benefit Period Amount 4,Request Accumulator,9(10),D2,10,1112,-,1121,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 3: see definition, values and comments in Accumulator Benefit Period 1"
Action Code 4,Request Accumulator,X(1),AN,1,1122,-,1122,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 3: Required if Accumulator Benefit Period Amount (XXX) is exchanged.
Accumulator Remaining Balance 4,Request Accumulator,9(10),D2,10,1123,-,1132,N,N,,Default to Zeros,Default to Zeros,"IF Accumulator Balance Count   > 3: see definition, values and comments in Accumulator Remaining Balance 1"
Action Code 4,Request Accumulator,X(1),AN,1,1133,-,1133,N,N,,"Default to Spaces or populate with: ‘+’, ‘-‘, 'B'  or 'R' as appropriate","Default to Space. ESI will populate with '+' or ""-"" as appropriate",IF Accumulator Balance Count   > 3
Accumulator Balance Qualifier 5,Request Accumulator,X(2),AN,2,1134,-,1135,Y,Y,,Default to Spaces,Default to Spaces,"IF Accumulator Balance Count   > 4: see definition, values and comments in Accumulator Balance Qualifier 1"
