organization_id,reimbursement_id,date_sent_to_client,date_of_client_approval,date_of_send_to_peakone,date_of_member_payment
30,820887713173494577,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820888018797054440,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820888370004289666,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820888893836659543,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820889140100821150,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820889365115342357,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820889583677936949,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820889921279704117,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820890097445336648,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820890287525887514,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820890507571665524,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820890816887612339,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820891141281945923,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,822118146141712681,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,824090251917420214,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,824090821966792898,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,824091335834300426,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,825222892682882774,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,825242852199286753,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,825243530534355069,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,825243960131000864,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,825244231869112529,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,826860447815495920,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,826861073578038502,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,826863028349666803,2020-04-01,2020-04-01,2020-04-01,2020-04-01
39,824082920704793585,2020-04-01,2020-04-01,2020-04-01,2020-04-01
39,824083531506008668,2020-04-01,2020-04-01,2020-04-01,2020-04-01
39,824083796886569117,2020-04-01,2020-04-01,2020-04-01,2020-04-01
39,824084464726752584,2020-04-01,2020-04-01,2020-04-01,2020-04-01
39,824085034005692012,2020-04-01,2020-04-01,2020-04-01,2020-04-01
39,825217709571848401,2020-04-01,2020-04-01,2020-04-01,2020-04-01
30,827615836361828283,2020-04-16,2020-04-16,2020-04-16,2020-04-16
30,830287394083274271,2020-04-16,2020-04-16,2020-04-16,2020-04-16
30,832079391147930205,2020-04-16,2020-04-16,2020-04-16,2020-04-16
39,836633138087212851,2020-04-28,2020-04-28,2020-04-28,2020-04-28
30,834142056229746606,2020-04-29,2020-04-29,2020-04-29,2020-04-29
30,836714146247903628,2020-05-06,2020-05-06,2020-05-06,2020-05-06
30,839614197666887603,2020-05-06,2020-05-06,2020-05-06,2020-05-06
30,840601954821917521,2020-05-15,2020-05-15,2020-05-15,2020-05-15
30,845741507423714156,2020-06-02,2020-06-02,2020-06-02,2020-06-02
30,847519066424101609,2020-06-02,2020-06-02,2020-06-02,2020-06-02
30,849640004827895275,2020-06-12,2020-06-12,2020-06-12,2020-06-12
30,850073439883987577,2020-06-12,2020-06-12,2020-06-12,2020-06-12
30,850075177951217145,2020-06-12,2020-06-12,2020-06-12,2020-06-12
30,850373971594517817,2020-06-12,2020-06-12,2020-06-12,2020-06-12
30,855165456904716993,2020-06-30,2020-06-30,2020-06-30,2020-06-30
30,856970170540160098,2020-06-30,2020-06-30,2020-06-30,2020-06-30
30,859914054134184558,2020-07-09,2020-07-09,2020-07-09,2020-07-09
30,862071770147935208,2020-07-09,2020-07-09,2020-07-09,2020-07-09
30,864587395838899901,2020-07-23,2020-07-23,2020-07-23,2020-07-23
30,865337196239528942,2020-07-23,2020-07-23,2020-07-23,2020-07-23
30,865980532206447125,2020-07-23,2020-07-23,2020-07-23,2020-07-23
30,867482085867783463,2020-07-23,2020-07-23,2020-07-23,2020-07-23
30,868235415746369364,2020-08-03,2020-08-03,2020-08-03,2020-08-03
30,868235860954988188,2020-08-03,2020-08-03,2020-08-03,2020-08-03
30,869934090671977303,2020-08-03,2020-08-03,2020-08-03,2020-08-03
30,869940916555577429,2020-08-03,2020-08-03,2020-08-03,2020-08-03
30,869962096234238975,2020-08-03,2020-08-03,2020-08-03,2020-08-03
30,870336340421253821,2020-08-03,2020-08-03,2020-08-03,2020-08-03
30,870338933999739159,2020-08-03,2020-08-03,2020-08-03,2020-08-03
30,871120067383611292,2020-08-03,2020-08-03,2020-08-03,2020-08-03
30,875044334388514120,2020-08-14,2020-08-14,2020-08-14,2020-08-14
30,875491706112820374,2020-08-14,2020-08-14,2020-08-14,2020-08-14
39,873204580274349042,2020-08-14,2020-08-14,2020-08-14,2020-08-14
39,873206420258070147,2020-08-14,2020-08-14,2020-08-14,2020-08-14
39,873622870951405771,2020-08-14,2020-08-14,2020-08-14,2020-08-14
39,875049972412895727,2020-08-14,2020-08-14,2020-08-14,2020-08-14
30,889921001760909950,2020-10-05,2020-10-05,2020-10-05,2020-10-05
30,893175074760267871,2020-10-05,2020-10-05,2020-10-05,2020-10-05
30,893157900445021742,2020-10-16,2020-10-16,2020-10-16,2020-10-16
30,898285432517423935,2020-10-16,2020-10-16,2020-10-16,2020-10-16
30,900830410821483507,2020-11-02,2020-11-02,2020-11-02,2020-11-02
30,902674763120371966,2020-11-02,2020-11-02,2020-11-02,2020-11-02
30,902679484649450898,2020-11-02,2020-11-02,2020-11-02,2020-11-02
30,903729277223973347,2020-11-02,2020-11-02,2020-11-02,2020-11-02
39,901535743901362749,2020-11-02,2020-11-02,2020-11-02,2020-11-02
30,907657463513639003,2020-11-10,2020-11-10,2020-11-10,2020-11-10
30,907658658690157069,2020-11-10,2020-11-10,2020-11-10,2020-11-10
30,907684601800283476,2020-11-10,2020-11-10,2020-11-10,2020-11-10
30,907686330929320735,2020-11-10,2020-11-10,2020-11-10,2020-11-10
30,907688272873452301,2020-11-10,2020-11-10,2020-11-10,2020-11-10
30,907690951616963174,2020-11-10,2020-11-10,2020-11-10,2020-11-10
30,907637596823069173,2020-11-16,2020-11-16,2020-11-16,2020-11-16
30,907637951607667690,2020-11-16,2020-11-16,2020-11-16,2020-11-16
30,908729329297635081,2020-11-16,2020-11-16,2020-11-16,2020-11-16
112,908755619109226174,2020-11-16,2020-11-16,2020-11-16,2020-11-16
112,908756124690614167,2020-11-16,2020-11-16,2020-11-16,2020-11-16
112,908757035667857430,2020-11-16,2020-11-16,2020-11-16,2020-11-16
112,908757951078527197,2020-11-16,2020-11-16,2020-11-16,2020-11-16
30,910895600088908986,2020-11-23,2020-11-23,2020-11-23,2020-11-23
30,910896386073199321,2020-11-23,2020-11-23,2020-11-23,2020-11-23
30,910901180516614378,2020-11-23,2020-11-23,2020-11-23,2020-11-23
39,911285822378814205,2020-11-23,2020-11-23,2020-11-23,2020-11-23
30,915323520001593935,2020-12-15,2020-12-15,2020-12-15,2020-12-15
30,915324201770677651,2020-12-15,2020-12-15,2020-12-15,2020-12-15
30,920665556009659629,2020-12-16,2020-12-16,2020-12-16,2020-12-16
39,913191094509875315,2020-12-16,2020-12-16,2020-12-16,2020-12-16
39,916442999735968366,2020-12-16,2020-12-16,2020-12-16,2020-12-16
39,920665290131204808,2020-12-16,2020-12-16,2020-12-16,2020-12-16
30,913193956112589725,2020-12-18,2020-12-18,2020-12-18,2020-12-18
30,916439335694144746,2020-12-18,2020-12-18,2020-12-18,2020-12-18
30,921543906260987780,2020-12-18,2020-12-18,2020-12-18,2020-12-18
112,921547139243199580,2020-12-18,2020-12-18,2020-12-18,2020-12-18
70,928419099591793992,2021-01-12,2021-01-12,2021-01-12,2021-01-12
112,930536172039549730,2021-01-21,2021-01-21,2021-01-21,2021-01-21
70,930550595929274096,2021-01-27,2021-01-27,2021-01-27,2021-01-27
70,933198773583407558,2021-01-27,2021-01-27,2021-01-27,2021-01-27
70,934175714069415125,2021-01-27,2021-01-27,2021-01-27,2021-01-27
148,935994560062828833,2021-02-02,2021-02-02,2021-02-02,2021-02-02
148,935996833922678348,2021-02-02,2021-02-02,2021-02-02,2021-02-02
30,930970472685242843,2021-02-03,2021-02-03,2021-02-03,2021-02-05
30,933212038411024378,2021-02-03,2021-02-03,2021-02-03,2021-02-09
30,933212566165170729,2021-02-03,2021-02-03,2021-02-03,2021-02-09
70,938533981806319348,2021-02-05,2021-02-08,2021-02-08,2021-02-09
30,933212873895079198,2021-02-08,2021-02-08,2021-02-09,2021-02-09
70,933547417486146712,2021-02-16,2021-02-16,2021-02-17,2021-02-18
70,934556477055809648,2021-02-16,2021-02-16,2021-02-17,2021-02-18
70,938180804925033581,2021-02-16,2021-02-16,2021-02-17,2021-02-18
70,938181952639802788,2021-02-16,2021-02-16,2021-02-17,2021-02-18
70,940614531216036266,2021-02-16,2021-02-16,2021-02-17,2021-02-18
70,940711874364592111,2021-02-16,2021-02-16,2021-02-17,2021-02-18
70,941020355980693015,2021-02-16,2021-02-16,2021-02-17,2021-02-18
70,941778243007253693,2021-02-16,2021-02-16,2021-02-17,2021-02-18
30,938471568732975982,2021-02-22,2021-03-01,2021-03-01,2021-03-01
30,938471977392376333,2021-02-22,2021-03-01,2021-03-01,2021-03-01
30,942113538154625659,2021-02-22,2021-03-01,2021-03-01,2021-03-01
70,944619553222338261,2021-02-22,2021-02-22,2021-02-23,2021-02-23
30,946826294957176010,2021-03-01,2021-03-01,2021-03-01,2021-03-01
70,944000315934820592,2021-03-01,2021-03-01,2021-03-01,2021-03-01
70,946166294511883147,2021-03-01,2021-03-01,2021-03-01,2021-03-01
70,946526452174190355,2021-03-01,2021-03-01,2021-03-01,2021-03-01
30,949791126136666694,2021-03-08,2021-03-08,2021-03-09,2021-03-09
70,948995606793618900,2021-03-08,2021-03-08,2021-03-08,2021-03-08
70,948997284405178146,2021-03-08,2021-03-08,2021-03-08,2021-03-08
30,950827103600141641,2021-03-15,2021-03-15,2021-03-15,2021-03-15
70,948995986000044296,2021-03-15,2021-03-15,2021-03-15,2021-03-15
70,951486799594930206,2021-03-15,2021-03-15,2021-03-15,2021-03-15
70,951885505443561480,2021-03-15,2021-03-15,2021-03-15,2021-03-15
70,951985412618131033,2021-03-15,2021-03-15,2021-03-15,2021-03-15
70,952274330298789106,2021-03-15,2021-03-15,2021-03-15,2021-03-15
30,947220972917607438,2021-03-16,2021-03-16,2021-03-17,2021-03-25
30,948332027654986010,2021-03-16,2021-03-16,2021-03-17,2021-03-25
70,930550990655413205,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,937090783871277643,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,938179501095770911,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,938182419118351056,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,940615060070893823,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,946072319493341966,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,946073691802658597,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,946074569746666236,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,946075053098835522,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,946076530861800316,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,946077585111881090,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,946078274355281082,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,949000418913716669,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,949375021378778484,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,949765376086213300,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,949814758866762415,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,949815770185866950,2021-03-19,2021-03-19,2021-03-19,2021-03-19
70,953287852127228222,2021-03-19,2021-03-19,2021-03-19,2021-03-23
70,953362839879698277,2021-03-19,2021-03-19,2021-03-19,2021-03-23
70,953379473025748433,2021-03-19,2021-03-19,2021-03-19,2021-03-23
30,953381261494910961,2021-03-22,2021-03-22,2021-03-23,2021-03-29
30,953730513507985704,2021-03-22,2021-03-22,2021-03-23,2021-03-29
39,953728664983848038,2021-03-22,2021-03-22,2021-03-23,2021-03-31
70,954837998419406551,2021-03-22,2021-03-22,2021-03-22,2021-03-23
108,953676609887579655,2021-03-22,2021-03-29,2021-03-29,2021-04-06
108,955881355944301934,2021-03-22,2021-03-29,2021-03-29,2021-04-06
30,946825647577644419,2021-03-29,2021-04-01,2021-04-01,2021-04-06
30,946825868518880945,2021-03-29,2021-04-01,2021-04-01,2021-04-06
30,957421446829303470,2021-03-29,2021-04-01,2021-04-01,2021-04-06
70,953363099568689361,2021-03-29,2021-03-29,2021-03-29,2021-03-29
70,955876776155878066,2021-03-29,2021-03-29,2021-03-29,2021-03-29
70,955877383460729142,2021-03-29,2021-03-29,2021-03-29,2021-04-01
70,956222410991793698,2021-03-29,2021-03-29,2021-03-29,2021-04-01
70,956918859054576171,2021-03-29,2021-03-29,2021-03-29,2021-04-01
70,957288576079710383,2021-03-29,2021-03-29,2021-03-29,2021-04-01
70,957289284897321442,2021-03-29,2021-03-29,2021-03-29,2021-04-01
30,958442786999733040,2021-04-05,2021-04-05,2021-04-05,2021-04-14
30,959863481272509425,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,943571816250237448,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,956967018965319334,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,956967430177186806,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,958443568985453664,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,958448819410510394,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,958449252807389437,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,958449530896897625,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,958449926375485052,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,958454040478606700,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,958454567357294147,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,958787704100513527,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,958792497954946185,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,959458421176476640,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,959826769054007708,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,959847679157200850,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,959910571232300933,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,959911833081596110,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,959912618355592916,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,959912986963736936,2021-04-05,2021-04-05,2021-04-05,2021-04-14
70,959920183597129927,2021-04-05,2021-04-05,2021-04-05,2021-04-14
110,957270270682952430,2021-04-05,2021-04-05,2021-04-12,2021-04-14
112,959900846416467196,2021-04-05,2021-04-05,2021-04-05,2021-04-05
30,940713996744743263,2021-04-12,2021-04-12,2021-04-13,2021-04-14
30,962064513969498888,2021-04-12,2021-04-12,2021-04-13,2021-04-21
70,961283118707476859,2021-04-12,2021-04-12,2021-04-12,2021-04-21
70,961636031405470789,2021-04-12,2021-04-12,2021-04-12,2021-04-21
70,962351903028498250,2021-04-12,2021-04-12,2021-04-12,2021-04-21
108,961982589723552360,2021-04-12,2021-04-13,2021-04-13,2021-04-21
30,963876811527555250,2021-04-19,2021-04-19,2021-04-20,2021-04-28
70,954838794563712075,2021-04-19,2021-04-19,2021-04-20,2021-04-21
70,958785876630954843,2021-04-19,2021-04-19,2021-04-20,2021-04-21
70,958788071805440030,2021-04-19,2021-04-19,2021-04-20,2021-04-21
70,961636983916900769,2021-04-19,2021-04-19,2021-04-20,2021-04-26
70,961638332290462091,2021-04-19,2021-04-19,2021-04-20,2021-04-26
70,964232257401017364,2021-04-19,2021-04-19,2021-04-20,2021-04-28
70,964248070030878999,2021-04-19,2021-04-19,2021-04-20,2021-04-28
70,964949070956645450,2021-04-19,2021-04-19,2021-04-20,2021-04-26
30,967060658438702941,2021-04-26,2021-04-26,2021-04-26,2021-04-28
39,967501040018142929,2021-04-26,2021-04-26,2021-04-27,2021-05-05
70,966058316678630919,2021-04-26,2021-04-26,2021-04-26,2021-04-28
70,966058755802412977,2021-04-26,2021-04-26,2021-04-26,2021-04-28
70,966760157318803034,2021-04-26,2021-04-26,2021-04-26,2021-04-28
39,969321452708179055,2021-05-03,2021-05-03,2021-05-03,2021-05-11
39,969321850964514375,2021-05-03,2021-05-03,2021-05-03,2021-05-11
39,970074209917483999,2021-05-03,2021-05-03,2021-05-03,2021-05-11
70,963875765843721202,2021-05-03,2021-05-03,2021-05-03,2021-05-04
70,969299852651566988,2021-05-03,2021-05-03,2021-05-03,2021-05-04
30,973610664213186979,2021-05-10,2021-05-10,2021-05-10,2021-05-18
70,971072837794236059,2021-05-10,2021-05-10,2021-05-10,2021-05-17
70,971508660286203784,2021-05-10,2021-05-10,2021-05-10,2021-05-17
70,972160854799078446,2021-05-10,2021-05-10,2021-05-10,2021-05-17
70,972213231786110374,2021-05-10,2021-05-10,2021-05-10,2021-05-17
151,971411678972331341,2021-05-10,2021-05-10,2021-05-10,2021-05-17
30,973944078532123173,2021-05-17,2021-05-20,2021-05-21,2021-05-21
30,973944603145159012,2021-05-17,2021-05-20,2021-05-21,2021-05-21
70,974774773196735756,2021-05-17,2021-05-17,2021-05-19,2021-05-21
70,975043337843145584,2021-05-17,2021-05-17,2021-05-19,2021-05-21
70,975044836927557611,2021-05-17,2021-05-17,2021-05-19,2021-05-21
70,975046424658881969,2021-05-17,2021-05-17,2021-05-19,2021-05-21
70,975048259807338948,2021-05-17,2021-05-17,2021-05-19,2021-05-21
70,975050216849510593,2021-05-17,2021-05-17,2021-05-19,2021-05-21
70,975055079582989322,2021-05-17,2021-05-17,2021-05-19,2021-05-21
108,975090224009217349,2021-05-17,2021-05-24,2021-05-24,2021-05-24
108,975091160349387553,2021-05-17,2021-05-24,2021-05-24,2021-05-24
108,975091350719959913,2021-05-17,2021-05-24,2021-05-24,2021-05-24
112,973681448660864881,2021-05-17,2021-05-17,2021-05-17,2021-05-17
168,971512668616008623,2021-05-17,2021-05-17,2021-05-19,2021-05-25
168,972214073906300834,2021-05-17,2021-05-17,2021-05-19,2021-05-25
168,972239994492208522,2021-05-17,2021-05-17,2021-05-19,2021-05-27
168,972498632795791296,2021-05-17,2021-05-17,2021-05-19,2021-05-25
30,976494169631689301,2021-05-24,2021-05-27,2021-05-27,2021-06-02
30,976511485795504557,2021-05-24,2021-05-27,2021-05-27,2021-06-02
39,977585446275148262,2021-05-24,2021-05-25,2021-05-25,2021-06-02
70,975045591289095349,2021-05-24,2021-05-24,2021-05-24,2021-05-27
70,976127286623739417,2021-05-24,2021-05-24,2021-05-24,2021-05-27
70,976127631964531741,2021-05-24,2021-05-24,2021-05-24,2021-05-27
70,976128062180971619,2021-05-24,2021-05-24,2021-05-24,2021-05-27
70,976128548156531700,2021-05-24,2021-05-24,2021-05-24,2021-05-27
70,976148394342681047,2021-05-24,2021-05-24,2021-05-24,2021-05-27
70,976148655908101410,2021-05-24,2021-05-24,2021-05-24,2021-05-27
70,976150320843187563,2021-05-24,2021-05-24,2021-05-24,2021-05-27
70,976168722104807395,2021-05-24,2021-05-24,2021-05-24,2021-05-25
168,972208622585733426,2021-05-24,2021-05-24,2021-05-24,2021-06-02
168,972209622662367476,2021-05-24,2021-05-24,2021-05-24,2021-06-02
168,972210811196091071,2021-05-24,2021-05-24,2021-05-24,2021-06-02
168,976153603459624473,2021-05-24,2021-05-24,2021-05-24,2021-06-02
168,976493177939917048,2021-05-24,2021-05-24,2021-05-24,2021-06-02
70,977592341307609210,2021-06-01,2021-06-01,2021-06-03,2021-06-04
70,978681572465611232,2021-06-01,2021-06-01,2021-06-03,2021-06-04
70,978737508634318420,2021-06-01,2021-06-01,2021-06-03,2021-06-04
70,979793763960583862,2021-06-01,2021-06-01,2021-06-03,2021-06-04
70,979794241344134350,2021-06-01,2021-06-01,2021-06-03,2021-06-04
108,975111917063474783,2021-06-01,2021-06-04,2021-06-04,2021-06-04
108,979021187166464181,2021-06-01,2021-06-04,2021-06-04,2021-06-04
168,972498209696273919,2021-06-01,2021-06-03,2021-06-03,2021-06-04
168,972501941284794052,2021-06-01,2021-06-03,2021-06-03,2021-06-11
168,979735793598989099,2021-06-01,2021-06-03,2021-06-03,2021-06-04
30,981938139112771237,2021-06-07,2021-06-07,2021-06-07,2021-06-11
39,981566874238539160,2021-06-07,2021-06-09,2021-06-09,2021-06-11
70,981570990193338833,2021-06-07,2021-06-07,2021-06-07,2021-06-11
70,981633904089517887,2021-06-07,2021-06-07,2021-06-07,2021-06-11
70,981664020511608319,2021-06-07,2021-06-07,2021-06-07,2021-06-11
70,981940563506527527,2021-06-07,2021-06-07,2021-06-07,2021-06-11
70,981960164094936211,2021-06-07,2021-06-07,2021-06-07,2021-06-11
108,982663141879630011,2021-06-07,2021-06-10,2021-06-10,2021-06-11
168,982284384528675009,2021-06-07,2021-06-07,2021-06-07,2021-06-11
70,983729119668469107,2021-06-14,2021-06-14,2021-06-14,2021-06-21
70,983731475944127671,2021-06-14,2021-06-14,2021-06-14,2021-06-21
70,983731861305747948,2021-06-14,2021-06-14,2021-06-14,2021-06-21
70,976490599310408284,2021-06-21,2021-06-21,2021-06-22,2021-06-22
70,977590926295551635,2021-06-21,2021-06-21,2021-06-22,2021-06-22
70,981570369719192835,2021-06-21,2021-06-21,2021-06-22,2021-06-22
70,985174472554589034,2021-06-21,2021-06-21,2021-06-22,2021-06-22
70,987001174935075526,2021-06-21,2021-06-21,2021-06-22,2021-06-22
70,987001743781924700,2021-06-21,2021-06-21,2021-06-22,2021-06-22
70,987002014571457209,2021-06-21,2021-06-21,2021-06-22,2021-06-22
70,987003230170897211,2021-06-21,2021-06-21,2021-06-22,2021-06-22
70,987003628813605876,2021-06-21,2021-06-21,2021-06-22,2021-06-22
168,986353263689272521,2021-06-21,2021-06-22,2021-06-23,2021-06-24
168,986990687634169606,2021-06-21,2021-06-22,2021-06-23,2021-06-24
70,988854034372988344,2021-06-28,2021-06-28,2021-06-28,2021-07-06
70,988856963466994166,2021-06-28,2021-06-28,2021-06-28,2021-07-06
70,990320233064474011,2021-06-28,2021-06-28,2021-06-28,2021-07-06
168,987066334844165942,2021-06-28,2021-06-28,2021-06-28,2021-07-06
30,976484460539700509,2021-07-06,2021-07-06,2021-07-06,2021-07-14
30,991413899368151461,2021-07-06,2021-07-06,2021-07-06,2021-07-14
30,992452262266820481,2021-07-06,2021-07-06,2021-07-06,2021-07-14
70,991384306091161266,2021-07-06,2021-07-06,2021-07-06,2021-07-14
70,991384740990388467,2021-07-06,2021-07-06,2021-07-06,2021-07-14
70,991739340907098501,2021-07-06,2021-07-06,2021-07-06,2021-07-14
151,991345859978333579,2021-07-06,2021-07-06,2021-07-06,2021-07-14
168,987000639275648740,2021-07-06,2021-07-06,2021-07-06,2021-07-14
168,991383027459962486,2021-07-06,2021-07-06,2021-07-06,2021-07-14
168,991408551168574386,2021-07-06,2021-07-06,2021-07-06,2021-07-14
168,991415906105720955,2021-07-06,2021-07-06,2021-07-06,2021-07-14
168,991416554976174877,2021-07-06,2021-07-06,2021-07-06,2021-07-14
168,991417115663486704,2021-07-06,2021-07-06,2021-07-06,2021-07-14
168,991417982402342456,2021-07-06,2021-07-06,2021-07-06,2021-07-14
170,992171414180232590,2021-07-06,2021-07-07,2021-07-07,2021-07-07
30,994264799268504647,2021-07-12,2021-07-12,2021-07-12,2021-07-20
30,994265182906582664,2021-07-12,2021-07-12,2021-07-12,2021-07-20
