id,Affiliated Network,Fertility Clinic Name,Fertility Clinic Location Name,Full Address,City,Subdivision Code,Postal Code,Fertility Clinic Notes,Domain,Self - Pay Discount Rate (%),Point of Contact Email(s),Name
43,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Pearland,"10907 Memorial Hermann Drive, Suite 330 ",Pearland,US-TX,77584,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
44,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Pearland,"10907 Memorial Hermann Drive, Suite 330 ",Pearland,US-TX,77584,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
46,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Women's,"6400 Fannin, Suite 730 ",Houston,US-TX,77054,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
47,Prelude Network,Aspire Fertility,Aspire Houston Fertility - The Woodlands,"17183 I-45 South, Suite 540 ",The Woodlands,US-TX,77385,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
48,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Beaumont,"6025 Metropolitan Drive, Suite 250 ",Beaumont,US-TX,77706,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
49,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Pearland,"10907 Memorial Hermann Drive, Suite 330 ",Pearland,US-TX,77584,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
50,Prelude Network,Aspire Fertility,Aspire Fertility San Antonio - Medical Drive,"4330 Medical Dr., Suite 200 ",San Antonio,US-TX,78229,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
51,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Piney Point,"2500 Fondren, Suite 300 ",Houston,US-TX,77063,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
52,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Kingwood,"350 Kingwood Medical Drive, #210 ",Kingwood,US-TX,77339,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
53,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Memorial Hermann,"6400 Fannin, Suite 2000 ",Houston,US-TX,77030,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
54,Prelude Network,Aspire Fertility,Aspire Fertility - McAllen,5300 N McColl Rd ,McAllen,US-TX,78504,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
55,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Memorial Hermann,"6400 Fannin, Suite 2000 ",Houston,US-TX,77030,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
56,Prelude Network,Aspire Fertility,Aspire HFI Clear Lake,400 W. Medical Center Blvd Ste 225 ,Webster,US-TX,77598,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
57,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Willowbrook,"18220 State Highway 249, Suite 300 ",Houston,US-TX,77070,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
58,Prelude Network,Aspire Fertility,Aspire Fertility San Antonio - Medical Drive,"4330 Medical Dr., Suite 200 ",San Antonio,US-TX,78229,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
59,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Sugar Land,"16651 Southwest Freeway, Suite 400 ",Sugar Land,US-TX,77479,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
60,Prelude Network,Aspire Fertility,Aspire Fertility Dallas - Addison,"16415 Addison Road, Suite 900 ",Addison,US-TX,75001,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
61,Prelude Network,Aspire Fertility,Aspire Houston Fertility - The Woodlands,"17183 I-45 South, Suite 540 ",The Woodlands,US-TX,77385,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
62,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Aspire Main Street,"7515 S. Main Street, Suite 500 ",Houston,US-TX,77030,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
63,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Cypress,"27700 Northwest Freeway, Suite 430 ",Cypress,US-TX,77433,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
64,Prelude Network,Aspire Fertility,Aspire Fertility - McAllen,5300 N McColl Rd ,McAllen,US-TX,78504,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
65,Prelude Network,Aspire Fertility,Aspire Fertility Dallas - Addison,"16415 Addison Road, Suite 900 ",Addison,US-TX,75001,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
66,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Willowbrook,"18220 State Highway 249, Suite 300 ",Houston,US-TX,77070,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
67,Prelude Network,Aspire Fertility,Aspire HFI Clear Lake,400 W. Medical Center Blvd Ste 225 ,Webster,US-TX,77598,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
68,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Beaumont,"6025 Metropolitan Drive, Suite 250 ",Beaumont,US-TX,77706,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
69,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Katy,"23920 Katy Freeway, Suite 340 ",Katy,US-TX,77494,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
70,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Katy,"23920 Katy Freeway, Suite 340 ",Katy,US-TX,77494,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
71,Prelude Network,Aspire Fertility,Aspire Fertility San Antonio - Medical Drive,"4330 Medical Dr., Suite 200 ",San Antonio,US-TX,78229,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
72,Prelude Network,Aspire Fertility,Aspire Fertility Dallas - Addison,"16415 Addison Road, Suite 900 ",Addison,US-TX,75001,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
73,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Aspire Main Street,"7515 S. Main Street, Suite 500 ",Houston,US-TX,77030,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
74,Prelude Network,Aspire Fertility,Aspire Fertility Dallas - Frisco,"5880 Frisco Square Blvd, Suite 2500 ",Frisco,US-TX,75034,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
75,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Cypress,"27700 Northwest Freeway, Suite 430 ",Cypress,US-TX,77433,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
76,Prelude Network,Aspire Fertility,Aspire Fertility Dallas - Frisco,"5880 Frisco Square Blvd, Suite 2500 ",Frisco,US-TX,75034,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
77,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Willowbrook,"18220 State Highway 249, Suite 300 ",Houston,US-TX,77070,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
78,Prelude Network,Aspire Fertility,Aspire Fertility San Antonio – Sonterra,"150 E Sonterra Blvd, Suite 220 ",San Antonio,US-TX,78258,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
79,Prelude Network,Aspire Fertility,Aspire Fertility San Antonio - Medical Drive,"4330 Medical Dr., Suite 200 ",San Antonio,US-TX,78229,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
80,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Memorial Hermann,"6400 Fannin, Suite 2000 ",Houston,US-TX,77030,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
81,Prelude Network,Aspire Fertility,Aspire Fertility Institute - Austin,911 W. 38th Street ,Austin,US-TX,78705,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
82,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Memorial City,"929 Gessner, #1320 ",Houston,US-TX,77024,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
83,Prelude Network,Aspire Fertility,Aspire Fertility Dallas - Addison,"16415 Addison Road, Suite 900 ",Addison,US-TX,75001,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
84,Prelude Network,Aspire Fertility,Aspire Fertility - Austin,"220 Bend Drive, Suite 402 ",Austin,US-TX,78758,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
85,Prelude Network,Aspire Fertility,Aspire Fertility Institute - Austin,911 W. 38th Street ,Austin,US-TX,78705,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
86,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Memorial Hermann,"6400 Fannin, Suite 2000 ",Houston,US-TX,77030,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
87,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Sugar Land,"16651 Southwest Freeway, Suite 400 ",Sugar Land,US-TX,77479,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
88,Prelude Network,Aspire Fertility,Aspire Fertility Institute - Austin,911 W. 38th Street ,Austin,US-TX,78705,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
89,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Aspire Main Street,"7515 S. Main Street, Suite 500 ",Houston,US-TX,77030,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
90,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Aspire Main Street,"7515 S. Main Street, Suite 500 ",Houston,US-TX,77030,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
91,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Women's,"6400 Fannin, Suite 730 ",Houston,US-TX,77054,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
93,Prelude Network,Aspire Fertility,Aspire Fertility Dallas - Frisco,"5880 Frisco Square Blvd, Suite 2500 ",Frisco,US-TX,75034,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
94,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Memorial City,"929 Gessner, #1320 ",Houston,US-TX,77024,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
95,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Kingwood,"350 Kingwood Medical Drive, #210 ",Kingwood,US-TX,77339,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
96,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Sugar Land,"16651 Southwest Freeway, Suite 400 ",Sugar Land,US-TX,77479,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
97,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Piney Point,"2500 Fondren, Suite 300 ",Houston,US-TX,77063,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
98,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Willowbrook,"18220 State Highway 249, Suite 300 ",Houston,US-TX,77070,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
99,Prelude Network,Aspire Fertility,Aspire Fertility - Austin,"220 Bend Drive, Suite 402 ",Austin,US-TX,78758,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
100,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Cypress,"27700 Northwest Freeway, Suite 430 ",Cypress,US-TX,77433,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
101,Prelude Network,Aspire Fertility,Aspire Fertility San Antonio – Sonterra,"150 E Sonterra Blvd, Suite 220 ",San Antonio,US-TX,78258,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
103,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Piney Point,"2500 Fondren, Suite 300 ",Houston,US-TX,77063,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
104,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Kingwood,"350 Kingwood Medical Drive, #210 ",Kingwood,US-TX,77339,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
105,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Memorial City,"929 Gessner, #1320 ",Houston,US-TX,77024,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
106,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Katy,"23920 Katy Freeway, Suite 340 ",Katy,US-TX,77494,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
112,Boston IVF,Boston IVF - New England,Boston IVF The Downtown Fertility Center,One Liberty Square 9th floor ,Boston,US-MA,02109,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
113,Boston IVF,Boston IVF - New England,Boston IVF The Banger,12 Stillwater Avenue ,Banger,US-ME,04401,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
114,Boston IVF,Boston IVF - New England,Boston IVF The Seacoast NH Fertility Center,155 Griffin Road ,Portsmouth,US-NH,03801,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
115,Boston IVF,Boston IVF - New England,Boston IVF The Westboro Fertility Center,4 Bellows Rd Suite B ,Westborough,US-MA,01581,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
116,Boston IVF,Boston IVF - New England,Boston IVF The Danvers Fertility Center,480 Maple St 1st Floor ,Danvers,US-MA,01923,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
117,Boston IVF,Boston IVF - New England,Boston IVF The Chelmsford Fertility Center,"10 Research Place Suite 205, N ",Chelmsford,US-MA,01863,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
118,Boston IVF,Boston IVF - New England,Boston IVF NH Center,18 Constitution Dr Suite 9 ,Bedford,US-NH,03110,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
119,Boston IVF,Boston IVF - New England,Boston IVF The Stoneham Fertility Center,2 Main St Suite 150 ,Stoneham,US-MA,02180,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
120,Boston IVF,Boston IVF - New England,Boston IVF The Downtown Boston Fertility Center,One Liberty Square 9th Floor ,Boston,US-MA,02109,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
121,Boston IVF,Boston IVF - New England,Boston IVF The Lexington Fertility Center,"450 Bedford St. Suite 1,000 ",Lexington,US-MA,02420,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
122,Boston IVF,Boston IVF - New England,Boston IVF - The Waltham Fertility Center,130 Second Ave ,Waltham,US-MA,02451,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
124,Boston IVF,Boston IVF - New England,Boston IVF The Brookline Fertility Center,824 Boylston St Suite 100A ,Chestnut Hill,US-MA,02467,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
125,Boston IVF,Boston IVF - New England,Boston IVF The Worcester Fertility Center,"100 MLK Jr Blvd, Suite 300 ",Worcester,US-MA,01608,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
126,Boston IVF,Boston IVF - New England,Boston IVF The Quincy Fertility Center,2300 Crown Colony Dr Suite 104 ,Quincy,US-MA,02169,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
136,Boston IVF,Boston IVF - Santander ,Boston IVF The Rhode Island Center,148 West River Street Unit 6 ,Providence,US-RI,02904,20% discount on self pay services provided by the clinic. ,bostonivf.com ,20%,newpatientscheduling@bostonivf.com,
138,CCRM,CCRM,CCRM NJ / IRMS - Hoboken,"129 Washington Street, 4th Floor ",Hoboken,US-NJ,07030,"10% discount on self pay services provided by the clinic
",houstonivf.net,10%,newreferrals@ccrmivf.com,
139,CCRM,CCRM,CCRM Newport Beach,"3501 Jamboree Road, Suite 1100 ",Newport Beach,US-CA,92660,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
140,CCRM,CCRM,CCRM Northern Virginia - Washington,"2120 L. Street NW, Ste 701 ",Washington,US-DC,Washington,"10% discount on self pay services provided by the clinic
",ccrmivf.com,10%,newreferrals@ccrmivf.com,
141,CCRM,CCRM,CCRM Dallas Fort Worth,"8380 Warren Parkway, Suite 201 ",Dallas,US-TX,75034,"10% discount on self pay services provided by the clinic
",radfertility.com,10%,newreferrals@ccrmivf.com,
142,CCRM,CCRM,CCRM Houston- Houston,"929 Gessner Road, Suite 2300 ",Houston,US-TX,77024,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
143,CCRM,CCRM,CCRM Boston,"300 Boylston Street, Suite 300 ",Chestnut Hill,US-MA,02459,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
144,CCRM,CCRM,CCRM NJ / IRMS - Livingston,"94 Old Short Hills Rd, Suite 403E, East Wing ",Livingston,US-NJ,07039,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
145,CCRM,CCRM,CCRM NJ / IRMS - Clark,"100 Walnut Ave, Suite 104 ",Clark,US-NJ,07066,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
146,CCRM,CCRM,CCRM - Denver,"4600 Hale Parkway, Suite 490 ",Denver,US-CO,80220,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
147,CCRM,CCRM,CCRM - Denver,"4600 Hale Parkway, Suite 490 ",Denver,US-CO,80220,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
148,CCRM,CCRM,CCRM NJ / IRMS - Livingston,"94 Old Short Hills Rd, Suite 403E, East Wing ",Livingston,US-NJ,07039,"10% discount on self pay services provided by the clinic
",thenewhopecenter.com,10%,newreferrals@ccrmivf.com,
149,CCRM,CCRM,CCRM - Denver,"4600 Hale Parkway, Suite 490 ",Denver,US-CO,80220,"10% discount on self pay services provided by the clinic
",colocrm.com,10%,newreferrals@ccrmivf.com,
150,CCRM,CCRM,CCRM - Denver,"4600 Hale Parkway, Suite 490 ",Denver,US-CO,80220,"10% discount on self pay services provided by the clinic
",irms.com ,10%,newreferrals@ccrmivf.com,
151,CCRM,CCRM,CCRM NJ / IRMS - Livingston,"94 Old Short Hills Rd, Suite 403E, East Wing ",Livingston,US-NJ,07039,"10% discount on self pay services provided by the clinic
",acrm.com,10%,newreferrals@ccrmivf.com,
152,CCRM,CCRM,CCRM Houston- The Woodlands,"1001 Medical Plaza Drive, Ste 290 ",The Woodlands,US-TX,77380,"10% discount on self pay services provided by the clinic
",ccrmny.com,10%,newreferrals@ccrmivf.com,
